,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
430,430,Mohammad Azam Khan,RAMPUR,SP, 10 ,Graduate Professional,0,,0,  
431,431,Krupal Balaji Tumane,RAMTEK,SHS,0,Graduate,95603165, 9 Crore+,4228793, 42 Lacs+ 
432,432,Jagannath Sarkar,RANAGHAT,BJP, 1 ,Graduate Professional,17622476, 1 Crore+,0,  
433,433,Sanjay Seth,RANCHI,BJP,0,Graduate Professional,14044267, 1 Crore+,100000, 1 Lacs+ 
434,434,Guman Singh Damor	,RATLAM,BJP,0,Graduate Professional,42072262, 4 Crore+,4890940, 48 Lacs+ 
435,435,Vinayak Bhaurao Raut,RATNAGIRI SINDHUDURG,Shiv Sena (Uddhav Balasaheb Thackeray), 3 ,Post Graduate,50660534, 5 Crore+,2830000, 28 Lacs+ 
436,436,Khadse Raksha Nikhil,RAVER,BJP,0,Graduate,172713734, 17 Crore+,0,  
437,437,Janardan Prasad Mishra,REWA,BJP,0,Graduate Professional,20359750, 2 Crore+,580627, 5 Lacs+ 
438,438,Pakauri Lal,ROBERTSGANJ,Apna Dal (Soneylal),0,Literate,23048078, 2 Crore+,684133, 6 Lacs+ 
439,439,Arvind Kumar Sharma,ROHTAK,BJP,0,Post Graduate,41079284, 4 Crore+,16778090, 1 Crore+ 
440,440,Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,0,,0,  
441,441,Rajbahadur Singh,SAGAR,BJP, 1 ,Post Graduate,16416828, 1 Crore+,547428, 5 Lacs+ 
442,442,Haji Fazlur Rehman,SAHARANPUR,BSP,0,Graduate,46146135, 4 Crore+,60000, 60 Thou+ 
443,443,Parthiban.S.R,SALEM,DMK, 4 ,Graduate Professional,60045532, 6 Crore+,4039841, 40 Lacs+ 
444,444,Ravinder,SALEMPUR,BJP,0,12th Pass,27031724, 2 Crore+,249400, 2 Lacs+ 
445,445,Ramchandra Paswan,SAMASTIPUR,LJP, 5 ,10th Pass,17375975, 1 Crore+,999057, 9 Lacs+ 
446,446,Nitesh Ganga Deb,SAMBALPUR,BJP, 1 ,12th Pass,269543587, 26 Crore+,10337195, 1 Crore+ 
447,447,Dr. Shafiqur Rehman Barq,SAMBHAL,SP,0,Graduate,13296671, 1 Crore+,0,  
448,448,Sanjaykaka Patil,SANGLI,BJP, 1 ,10th Pass,191192187, 19 Crore+,23345328, 2 Crore+ 
449,449,Bhagwant Mann,SANGRUR,AAP,0,12th Pass,16427274, 1 Crore+,0,  
450,450,Praveen Kumar Nishad,SANT KABIR NAGAR,BJP,0,Graduate Professional,0,,2326248, 23 Lacs+ 
451,451,Rajiv Pratap Rudy,SARAN,BJP,0,Post Graduate,80740349, 8 Crore+,0,  
452,452,Chhedi Paswan,SASARAM,BJP, 4 ,Post Graduate,37786578, 3 Crore+,2214842, 22 Lacs+ 
453,453,Bhonsle Shrimant Chhatrapati Udayanraje Pratapasinh Maharaj,SATARA,NCP, 8 ,12th Pass,1996813173, 199 Crore+,12340338, 1 Crore+ 
454,454,Ganesh Singh,SATNA,BJP, 2 ,Post Graduate,41719076, 4 Crore+,0,  
455,455,Gangapuram Kishan Reddy,SECUNDERABAD,BJP,0,Others,81430778, 8 Crore+,4500000, 45 Lacs+ 
456,456,Himadri Singh,SHAHDOL,BJP,0,Graduate,36564408, 3 Crore+,1736289, 17 Lacs+ 
457,457,Arun Kumar Sagar,SHAHJAHANPUR,BJP, 1 ,12th Pass,43448049, 4 Crore+,1179697, 11 Lacs+ 
458,458,Rama Devi,SHEOHAR,BJP, 1 ,Graduate Professional,328364940, 32 Crore+,0,  
459,459,Vincent H. Pala,SHILLONG,INC,0,Graduate Professional,549515421, 54 Crore+,0,  
460,460,Suresh Kumar Kashyap,SHIMLA,BJP,0,Post Graduate,0,,7873806, 78 Lacs+ 
461,461,B.Y.Raghavendra,SHIMOGA,BJP, 2 ,Graduate Professional,674093851, 67 Crore+,14150647, 1 Crore+ 
462,462,Sadashiv Kisan Lokhande,SHIRDI,SHS, 1 ,10th Pass,113710526, 11 Crore+,205100, 2 Lacs+ 
463,463,Amol Ramsing Kolhe,SHIRUR,NCP,0,Graduate Professional,43351521, 4 Crore+,1488116, 14 Lacs+ 
464,464,Ram Shiromani,SHRAWASTI,BSP,0,Graduate Professional,19108216, 1 Crore+,350000, 3 Lacs+ 
465,465,Riti Pathak,SIDHI,BJP,0,Post Graduate,51541791, 5 Crore+,505922, 5 Lacs+ 
466,466,Sumedhanand Saraswati,SIKAR,BJP,0,Post Graduate,2827638, 28 Lacs+,2719583, 27 Lacs+ 
